CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1573|	Pichincha|
1573|	Quito |
1574|	Pichincha|
1574|	Quito |
1575|	Imbabura|
1575|	Pichincha|
1575|	Cotacachi|
1575|	Otavalo|
1575|	Cayambe|
1576|	Galápagos|
1576|	Puerto Ayora|
1577|	Galápagos|
1577|	Puerto Ayora|
1578|	Galápagos|
1578|	Puerto Ayora|
1579|	Galápagos|
1579|	Puerto Ayora|
1580|	Galápagos|
1580|	Puerto Ayora|
1580|	Puerto Villamil|
1581|	Guayas|
1581|	Guayaquil |
1582|	Tungurahua|
1582|	Quero|
1583|	Tungurahua|
1583|	Quero|
1584|	Tungurahua|
1584|	Quero|
1585|	Tungurahua|
1585|	Quero|
1586|	Pichincha|
1586|	Tungurahua|
1586|	Quito |
1586|	Quero|
1587|	Tungurahua|
1587|	Quero|
1588|	Tungurahua|
1588|	Quero|
1589|	Tungurahua|
1589|	Quero|
1590|	Guayas|
1590|	Guayaquil |
1591|	Guayas|
1591|	Guayaquil |
1592|	Guayas|
1592|	Guayaquil |
1593|	Guayas|
1593|	Guayaquil |
1594|	Galápagos|
1594|	Puerto Villamil|
1595|	Guayas|
1595|	Guayaquil |
1596|	Guayas|
1596|	Guayaquil |
1597|	Guayas|
1597|	Guayaquil |
1598|	Guayas|
1598|	Guayaquil |
1599|	Guayas|
1599|	Guayaquil |
1599|	Naranjal|
1600|	Guayas|
1600|	Guayaquil |
1600|	Naranjal|
1601|	Chimborazo|
1601|	Guayas|
1601|	Penipe|
1601|	Riobamba|
1601|	Guayaquil |
1601|	Lagunas de El Altar|
1602|	Azuay|
1602|	Cuenca|
1602|	Gualaceo|
1603|	Azuay|
1603|	Cañar|
1603|	Cuenca|
1603|	Azogues|
1604|	Pichincha|
1604|	Quito |
1605|	Cotopaxi|
1605|	Pujilí|
1606|	Galápagos|
1606|	Islas Galápagos|
1607|	Galápagos|
1607|	Islas Galápagos|
1608|	Galápagos|
1608|	Pichincha|
1608|	Quito |
1608|	Islas Galápagos|
1609|	Pichincha|
1609|	Quito |
1610|	Galápagos|
1610|	Islas Galápagos|
1611|	Pichincha|
1611|	Quito |
1612|	Pichincha|
1612|	Quito |
1613|	Pichincha|
1613|	Quito |
1614|	Guayas|
1614|	Guayaquil |
1615|	Guayas|
1615|	Guayaquil |
1616|	Galápagos|
1616|	Islas Galápagos|
1617|	Galápagos|
1617|	Islas Galápagos|
1618|	Galápagos|
1618|	Islas Galápagos|
1619|	Galápagos|
1619|	Islas Galápagos|
1620|	Azuay|
1620|	Cuenca|
1620|	Girón|
1620|	San Fernando|
1621|	Azuay|
1621|	Cuenca|
1621|	Girón|
1621|	San Fernando|
1622|	Imbabura|
1622|	Otavalo|
1623|	Tungurahua|
1623|	Quero|
1624|	Tungurahua|
1624|	Quero|
1625|	Tungurahua|
1625|	Quero|
1626|	Pichincha|
1626|	Quito |
1627|	Pichincha|
1627|	Quito |
1628|	Pichincha|
1628|	Quito |
1629|	Pichincha|
1629|	Distrito Metropolitano De Quito|
1629|	Parque Nacional Cotopaxi |
1629|	Quito |
