CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
2309|	Puebla|
2309|	Tlaxcala|
2309|	Tlaxcala (Tlaxcala de Xicotencatl)|
2312|	Ciudad De México|
2313|	Ciudad De México|
2314|	Ciudad De México|
2315|	Durango|
2315|	Victoria de Durango|
2316|	Durango|
2316|	Canatlán|
2316|	Victoria de Durango|
2317|	Durango|
2317|	Victoria de Durango|
2317|	Mexiquillo|
2318|	Durango|
2318|	Victoria de Durango|
2318|	Santiago Papasquiaro|
2319|	Durango|
2319|	Victoria de Durango|
2319|	Mapimí|
2320|	Veracruz De Ignacio De La Llave|
2320|	Córdoba|
2320|	Orizaba|
2320|	Veracruz|
2321|	Ciudad De México|
2322|	Veracruz De Ignacio De La Llave|
2322|	Orizaba|
2322|	Veracruz|
2323|	Puebla|
2323|	Cuetzalan|
2324|	Puebla|
2324|	Cuetzalan|
2325|	Puebla|
2325|	Cuetzalan|
2326|	Guanajuato|
2326|	San miguel de Allende|
2327|	Puebla|
2327|	Cuetzalan|
2328|	Ciudad De México|
2328|	Guanajuato|
2328|	San Miguel De Allende|
2328|	Dolores Hidalgo Cuna De La Independencia Nacional|
2328|	Michoacán De Ocampo|
2328|	Morelia|
2328|	Puebla|
2328|	Querétaro|
2328|	Santiago De Querétaro|
2328|	Dolores Hidalgo|
2329|	Nuevo León|
2329|	Santiago|
2330|	Nuevo León|
2330|	Santiago|
2331|	Puebla|
2331|	Chautla|
2332|	Ciudad De México|
2332|	México|
2332|	San Juan Teotihuacan |
2333|	Ciudad De México|
2333|	México|
2333|	San Juan Teotihuacan |
2333|	Xochimilco|
2334|	Ciudad De México|
2334|	México|
2334|	San Juan Teotihuacan |
2335|	Ciudad De México|
2336|	Ciudad De México|
2337|	Ciudad De México|
2338|	Ciudad De México|
2339|	Ciudad De México|
2340|	Ciudad De México|
2340|	México|
2340|	San Juan Teotihuacan |
2341|	Ciudad De México|
2342|	Ciudad De México|
2343|	Quintana Roo|
2343|	Playa del Carmen|
2344|	Puebla|
2345|	Querétaro|
2346|	Oaxaca|
2347|	Querétaro|
2347|	San Luis Potosí|
2347|	Xilitla|
2348|	Querétaro|
2349|	Hidalgo|
2349|	Querétaro|
2349|	Tasquillo|
2350|	Querétaro|
2351|	Querétaro|
2352|	San Luis Potosí|
2352|	Ciudad Valles|
2353|	Oaxaca|
2353|	Huatulco|
2354|	Yucatán|
2354|	Valladolid|
2355|	Chiapas|
2355|	Oaxaca|
2355|	Puebla|
2355|	Chiapa de Corzo|
2355|	Palenque|
2355|	San Cristóbal de las Casas|
2355|	Tuxtla Gutiérrez|
2355|	Santo Domingo Tehuantepec|
2356|	Baja California|
2356|	Ensenada|
2357|	Baja California|
2357|	Ensenada|
2358|	Baja California|
2358|	Ensenada|
2359|	San Luis Potosí|
2359|	Ciudad Valles|
2359|	Xilitla|
2360|	San Luis Potosí|
2360|	Ciudad Valles|
2361|	Querétaro|
2361|	Peña de Bernal|
2362|	Veracruz De Ignacio De La Llave|
2362|	Catemaco|
2362|	San Andrés Tuxtla|
2362|	Santiago Tuxtla|
2363|	Chiapas|
2363|	Chiapa de Corzo|
2363|	Tuxtla Gutiérrez|
